bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
PUV0815269,ECO.02.0036,ECO.02.0036 ; ECO.02.0039 ; ECO.02.0083,La decadence latine,Joséphin Péladan,Paris,[188.],1885,fre,
BVEE034371,ECO.01.0378,ECO.01.0378 ; ECO.01.0380 ; ECO.01.0381,"Medicina catholica, seu mysticum artis medicandi sacrarium. In tomos diuisom duos. In quibus metaphysica et physica tam sanitatis tuendae, quam morbor",,Francofurti,1629,1629,lat,yes
MIL1037774,ECO.02.0095/4,ECO.02.0095/4 ; ECO.02.0109,Épitre à Sa Majesté l'empereur de Russie; pour compléter les Cent pages décisives; et pour accomplir la Réforme de la mécanique céleste,par l'auteur de la Réforme du savoir humain,Metz,1851,1851,fre,yes
MIL1038448,ECO.02.0136,ECO.02.0136 ; ECO.02.0137,Oeuvres illustrées d'Eugène Sue,"200 dessins par MM. Gavarni, J.-A. Beaucé et Staal, etc., etc.",Paris,1850,1850,fre,
MILE062433,ECO.01.0297,ECO.01.0297 ; ECO.01.0331/1,Cento Virgilianus De Fratribus Roseae Crucis authore F. G. Menapio,,[S.l.],1618,1618,lat,yes
RMLE002108,ECO.01.0761,ECO.01.0761 ; ECO.01.0762,"Raymundi Lullii Opera ea quae ad adinuentam ab ipso artem vniuersalem, scientiarum artiumque omnium breui compendio, firmaque memoria appræhendendarum",,Argentinæ,1598,1598,lat,yes
LO10733578,ECO.02.0004,ECO.02.0004 ; ECO.02.0020,Essais de sciences maudites,par Stanislas de Guaita,Paris,1890-1897,1890,fre,
BVEE000118,ECO.01.0905,ECO.01.0905 ; ECO.01.0984,Henrici Cornelii Agrippae ab Nettesheym ... De occulta philosophia libri tres,,,,1533,lat,yes
BVEE031484,ECO.01.0379,ECO.01.0379 ; ECO.01.0382,"Appendix necessaria Syntagmatis arcanorum chymicorum Andreae Libauij, ... Accesserunt 1. Iudicium breue de dea Hippocratis, ... Henningi Scheunemani, ",,Francofurti,,1615,lat,yes
BVEE046774,ECO.01.0391,ECO.01.0391 ; ECO.01.0392,1.[1]: De macrocosmi historia in duos tractatus diuisa quorum primus de metaphysico macrocosmi et creaturarum illius ortu. Physico macrocosmi in gener,,Opphenemii,1617 [i.e. Francofor,1624,lat,yes
TO0E002412,ECO.01.0652,ECO.01.0652 ; ECO.01.0653,"Amphitheatrum æternæ prouidentiæ diuino-magicum. Christiano-physicum, nec non astrologo-catholicum. Aduersus veteres philosophos, atheos, Epicureos, P",,Lugduni,1615,1615,lat,yes
PAR1197364,ECO.04.0060,ECO.04.0060 ; ECO.04.0061 ; ECO.04.0062 ; ECO.04.0063,Il Medioevo,a cura di Umberto Eco,Milano,,2010,ita,
BVEE036054,ECO.01.0544/01,ECO.01.0544/01 ; ECO.01.0544/02 ; ECO.01.0544/03 ; ECO.01.0544/04,Gerardi Ioannis Vossii De arte grammatica libri septem,,Amsterdami,1635,1635,lat,yes
VEAE142687,ECO.01.0227,ECO.01.0227,"Histoires prodigieuses les plus memorables qui ayent esté obseruée, depuis la Natiuité de Iesus Christ, iusques a nostre siecle: extraictes de plusieu",,A Paris,1560,1560,fre,yes
MIL1038655,ECO.02.0160,ECO.02.0160,Vol. 1.,par Alexandre Dumas,Paris,1887,1887,fre,yes
MIL1038657,ECO.02.0160,ECO.02.0160,Vol. 2.,par Alexandre Dumas,Paris,1887,1887,fre,yes
SBL0561072,ECO.04.0026,ECO.04.0026,Trattato di semiotica generale,Umberto Eco,Milano,[1975],1975,ita,
MIL1038851,ECO.02.0165,ECO.02.0165,Vol. 5.,Tallemant des Reaux,Paris,1856,1856,fre,yes
PUV0675761,ECO.01.0523,ECO.01.0523,Francis Bacon concealed and revealed,by Bertram G. Theobald,London,1930,1930,eng,yes
MIL1039005,ECO.02.0168/12,ECO.02.0168/12,"Voyages, travels and ancillary sciences",,"New York, N.Y.",[1988?],1988,eng,yes
SBL0609875,ECO.01.0578/02,ECO.01.0578/02,I. Cheradami Alphabetum linguae sanctae,a cura dell'Instituo di scriptura,Roma,1983,1983,lat,
VEAE004624,ECO.01.0613,ECO.01.0613,Filologiche ricerche del cavaliere Giacomo Harris volgarizzamento di Pietro Antoniutti,,Venezia,,1799,ita,yes
PUVE009859,ECO.01.0270,ECO.01.0270,"P. Gasparis Schotti...Technica curiosa sive Mirabilia artis libri 12. comprehensa; quibus varia experimenta, variaque technasmata pneumatica, hydrauli",,[Wurzburg],1687,1687,lat,yes
PUVE015587,ECO.01.0977,ECO.01.0977,"Frederici Ruyschii, ... Adversariorum anatomico-medico-chirurgicorum decas tertia ...",,Amstelodami,1733 [i.e. 1744],1744,lat,yes
PUVE015595,ECO.01.0977,ECO.01.0977,Frederici Ruyschii ... Adversariorum anatomico-medico-chirurgicorum. Decas secunda ... Cum figuris aeneis,,Amstelodami,1726 [i. e. 1744],1744,lat,yes
SBL0734208,ECO.02.0117/01,ECO.02.0117/01,Del veltro allegorico de' Ghibellini,[a cura di Bruto Fabricatore],In Napoli,1856,1856,ita,yes
VEAE123661,ECO.01.0030,ECO.01.0030,"Ludicrum chiromanticum Praetorii : seu Thesaurus chiromantiae, locupletissimus: multis jocis [sic] & amoenitatibus, pluribus tamen seriis instructissi",,[Lipsia],1661,1661,lat,yes
SBLE001015,ECO.01.0963,ECO.01.0963,"Aurum superius & inferius aurae superioris & inferioris hermeticum, Christiani Adolphi Balduini, ...",,Amstelodami,1675,1675,lat,yes
RAV0008084,ECO.04.0039,ECO.04.0039,Semiotica e filosofia del linguaggio,Umberto Eco,Torino,1984,1984,ita,
CFI0569892,ECO.01.0254/17,ECO.01.0254/17,Nel mezzo del cammin...: a Dante journey through 700 years of text and images,edited by Livio Ambrogio,Brussels,2003,2003,eng,yes
CFI0627381,ECO.01.0936,ECO.01.0936,1,par m. Aug. Prost,,,1881,fre,yes
PAR0851539,ECO.02.0162/7,ECO.02.0162/7,La paresse,Eugene Sue,Bruxelles,1849,1849,fre,yes
CFI0625629,ECO.01.0518,ECO.01.0518,The great cryptogram,by Ignatius Donnelly,London,1888,1888,eng,
CFI0627385,ECO.01.0936,ECO.01.0936,2,par m. Aug. Prost,Paris,1882,1882,fre,yes
CFI0591115,ECO.01.0482/16,ECO.01.0482/16,Il labirinto metrico di Oronzo Pasquale Macrì,Cosimo Giannuzzi,°Galatina],°2004],2004,ita,yes
VIA0211511,ECO.01.0482/20,ECO.01.0482/20,"Nuovo modo de intendere la lingua zerga, cioè parlare forbesco",,Milano,1980,1980,ita,yes
VIA0211507,ECO.01.0482/22,ECO.01.0482/22,L'elefanticidio in Venezia dell'anno 1819,del nobile signor Pietro Bonmartini Padovano,Milano,1980,1980,ita,yes
MIL0428152,ECO.01.0254/16,ECO.01.0254/16,4: Manuscripts,compiled by Laurence C. Witten and Richard Pachella,New Haven,1977,1977,eng,yes
SBLE008103,ECO.01.0265,ECO.01.0265,Bibliographie instructive: ou Traité de la connaissance des livres rares et singuliers. Contenant un Catalogue raisonné de la plus grande partie de ce,,A Paris,1763-1768,1763,fre,
MIL0428148,ECO.01.0254/16,ECO.01.0254/16,3: Manuscripts,compiled by Laurence C. Witten and Richard Pachella,New Haven,1977,1977,eng,yes
UBOE020328,ECO.01.0440,ECO.01.0440,"Le comte de Gabalis, ou Entretiens sur les sciences secretes. ...",,A Paris,1670,1670,fre,yes
NAPE068149,ECO.01.0661,ECO.01.0661,Voiage du monde de Descartes,,Á Paris,1690,1690,fre,yes
NAPE069324,ECO.01.0843,ECO.01.0843,Discours fait en une celebre assemblée touchant la guerison des playes & la composition de la poudre de sympathie par le chevalier Digby ... enrichie ,,Autrecht,1681,1681,fre,yes
NAPE069348,ECO.01.0865,ECO.01.0865,Solis e puteo emergentis: siue Dissertationis chymiatechnicae libri tres. ... Cum praefatione chymiae veritatem afferente. Authore Ioanne Rhenano ...,,Francofurti,1613,1613,lat,yes
UBOE056702,ECO.01.0964,ECO.01.0964,"De secretis libri 17. Ex variis authoribus collecti, methodiceque digesti. Per Ioannem Iacobum VVeckerum Basiliensem... Accessit Index locupletissimus",,Basileae,1582,1582,lat,yes
UBOE124254,ECO.01.0977,ECO.01.0977,5,,Amstelaedami,1744,1744,lat,
UBOE124262,ECO.01.0977,ECO.01.0977,8,,Amstelaedami,1727 [i.e. 1744],1744,lat,yes
UBOE124265,ECO.01.0977,ECO.01.0977,9,,Amstelodami,1744,1744,lat,yes
UDAE000654,ECO.01.0545,ECO.01.0545,"Pasigraphie et pasilalie. Methode elementaire, contenant, 1°. les douze regles de la pasigraphie, c'est-a-dire ... Livre au moyen duquel on peut appre",,A Paris,an X 1801,1801,fre,yes
NAPE019927,ECO.01.0252/01,ECO.01.0252/01,"De orbis terræ concordia libri quatuor, multiiuga eruditione ac pietate referti, quibus nihil hoc tam perturbato rerum statu uel utilius, uel accomoda",,,[1544],1544,lat,yes
CBR0002978,ECO.02.0049,ECO.02.0049,Sainte Lydwine de Schiedam,J.-K. Huysmans,Paris,1922,1922,fre,yes
NAPE023702,ECO.01.0817,ECO.01.0817,"Fratris Rogeri Bacon, ... Opus majus ad Clementem Quartum, Pontificem Romanum. Ex ms. codice Dubliniensi, cum aliis quibusdam collato, nunc primum edi",,Londini,1733,1733,lat,yes
NAPE024190,ECO.03.0066,ECO.03.0066,"2.1: Mallei maleficarum, tractatus aliquot tam veterum, quàm recentiorum in vnum corpus coaceruati. Artis magicae stupendos effectus ... tomi secundi ","M. Bernhardi Basin, Vlrici Molitoris, d. Ioannis de Gerson..",Lugduni,1620,1621,lat,yes
UBOE017907,ECO.01.0373,ECO.01.0373,"Theodorici Hackspanii ... Miscellaneorum sacrorum libri duo, quibus accessit eiusdem exercitatio de cabbala iudaica",,Altdorphii,1660,1660,lat,yes
UBOE031494,ECO.01.0091,ECO.01.0091,"Opus mathematicum octo libros complectens, innumeris propemodum figuris idealibus manuum et physiognomiae ... Authore d. Ioanne Taisnierio ... Cum ind",,Coloniae Agrippinae,1562,1562,lat,yes
UBOE039706,ECO.01.0061,ECO.01.0061,"L'Alcoran des Cordeliers. Tant en latin qu'en françois. C'est a dire, Recueil des plus notables bourdes & blasphemes de ceux qui ont osé comparer Sain",,A Amsterdam,1734,1734,lat,
UBOE065738,ECO.01.1019,ECO.01.1019,"Vlyssis Aldrouandi ... De reliquis animalibus exanguibus libri quatuor, post mortem eius editi: nempe de mollibus, crustaceis, testaceis, et zoophytis",,Bononiae,1606,1606,lat,yes
SBL0121824,ECO.01.0184,ECO.01.0184,Bibliotheca alchemica et chemica,,London,1965,1965,eng,yes
UBOE124259,ECO.01.0977,ECO.01.0977,7,,"22 p., 4 c. di tav.",,1744,lat,yes
UFE0905235,ECO.02.0068,ECO.02.0068,2,par M.J. Brisset,Bruxelles,,1837,fre,yes
PAL0130443,ECO.01.0699/04,ECO.01.0699/04,2,Francesco Soave,Palermo,1846,1846,ita,yes
PAL0130444,ECO.01.0699/04,ECO.01.0699/04,3,Francesco Soave,Palermo,1846,1846,ita,yes
UBOE124224,ECO.01.0057,ECO.01.0057,1,,,,1575,lat,yes
UBOE124237,ECO.01.0977,ECO.01.0977,[23]: Frederici Ruyschii ... Thesaurus animalium primus. Cum figuris aeneis,,Amstaelodami,1744,1744,lat,yes
UBOE124243,ECO.01.0977,ECO.01.0977,1,,Amstelodami,1739,1739,lat,
UBOE124245,ECO.01.0977,ECO.01.0977,2,,Amstelaedami,1741,1741,lat,yes
UBOE124249,ECO.01.0977,ECO.01.0977,3,,Amstelaedami,1744,1744,lat,yes
UBOE124252,ECO.01.0977,ECO.01.0977,4,,Amstelodami,1744,1744,lat,yes
UBOE124256,ECO.01.0977,ECO.01.0977,6,,Amstelodami,1744,1744,lat,yes
UBOE124269,ECO.01.0977,ECO.01.0977,"[41]: Opusculum anatomicum de fabrica glandularum in corpore humano, continens binas epistolas, quarum prior est Hermanni Boerhaave, super hac re, ad ",,Lugduni Batavorum,1751,1751,lat,yes
UBOE129902,ECO.01.0828,ECO.01.0828,2.1: Ioannis Baptistae Villalpandi ... Tomi secundi explanationum Ezechielis prophetae pars prima in tredecim capita subsequentia,,,,1604,lat,yes
UFE0905230,ECO.02.0068,ECO.02.0068,Les templiers,par M.J. Brisset,Bruxelles,,1837,fre,
UFE0905234,ECO.02.0068,ECO.02.0068,1,par M.J. Brisset,Bruxelles,,1837,fre,yes
UBOE113731,ECO.01.0040,ECO.01.0040,"Theophrastou ethikoi charakteres. Theophrasti notationes morum. Isaacus Casaubonus recensuit in Latinum sermonem vertit, & libro commentario illustrau",,Brunsvigae,1659,1659,lat,yes
PAL0043579,ECO.01.0254/38,ECO.01.0254/38,Picta poesis,Robert J. Clements,Roma,1960,1960,eng,yes
CFI0019944,ECO.01.0879/04,ECO.01.0879/04,Demonialità,Ludovico Maria Sinistrari,Palermo,1986,1986,ita,yes
NAPE024396,ECO.01.0255,ECO.01.0255,"Theatro moral de la vida humana, en cien emblemas; con el enchiridion de Epicteto, &c. y la tabla de Cebes, philosopho platonico",[Otto Venio],En Brusselas,1672,1669,spa,yes
SBL0092905,ECO.04.0019,ECO.04.0019,I sistemi di segni e lo strutturalismo sovietico,a cura di Remo Faccani e Umberto Eco,Milano,1969,1969,ita,
UBOE018199,ECO.01.0492,ECO.01.0492,"Traite des animaux, ou apres avoir fait des observations critiques sur le sentiment de Descartes & sur celui de M. de Buffon, on entreprend d'explique",,A Amsterdam et se vend a Paris,1755,1755,fre,yes
NAPE042355,ECO.01.0584,ECO.01.0584,De diluuii uniuersalitate dissertatio prolusoria,,Genevae,1667,1667,lat,yes
NAPE042426,ECO.01.0551,ECO.01.0551,"Le mécanisme de la parole, suivi de la description d'une machine parlante ... par Mr. de Kempelen ...",,À Vienne,1791,1791,fre,yes
UBOE037884,ECO.01.0807,ECO.01.0807,Di M. Camillo Agrippa Trattato di scienza d'arme. Et vn dialogo in detta materia,,In Venetia,1604,1604,ita,
USME026636,ECO.01.0977,ECO.01.0977,"[19]: Joannis Jacobi Rau Responsio ad qualemcunque defensionem Frederici Ruyschii, quam haud ita pridem edidit, pro septo scroti. In qua hujus litis a",,Amstelodami,1737,1737,lat,yes
USME032012,ECO.01.0359,ECO.01.0359,2,,,1816,1816,fre,yes
LO1E005754,ECO.01.0144,ECO.01.0144,"Thaddaei Hagecii ab Hagek doctoris medici, Aphorismorum metoposcopicorum libellus vnus",,Francofurti,1584,1584,lat,yes
UMC0903534,ECO.02.0067,ECO.02.0067,1,[Antonio Bresciani],Fuligno,1851,1851,ita,yes
LO1E010351,ECO.01.0375,ECO.01.0375,"Des Talismans, ou Figures faites sous certaines constellations, pour faire aymer & respecter les hommes, les enrichir, guérir leurs maladies..... Avec",,A Paris,1636,1636,fre,yes
LO1E010429,ECO.01.0442,ECO.01.0442,"Viatorium, hoc est, de montibus planetarum septem, seu metallorum; Tractatus tam utilis, quam perspicuus, quo, ut Indice Mercuriali in triviis, vel Ar",,Rothomagi: sumpt. Ioannis Berthelin in a,1651,1651,lat,yes
LO1E010765,ECO.01.0951,ECO.01.0951,"Les fables egyptiennes et grecques devoilees et reduites au meme principe, avec une explication des hieroglyphes, et de la guerre de Troye. Par dom An",,A Paris,1758,1758,fre,
LO1E010766,ECO.01.0951,ECO.01.0951,1,,,,1758,fre,yes
LO1E010767,ECO.01.0951,ECO.01.0951,2,,,,1758,fre,yes
UTO1110639,ECO.02.0039,ECO.02.0039,3: L'initiation sentimentale,,Paris,1887,1887,fre,yes
MIL1023151,ECO.01.0254/14,ECO.01.0254/14,Kabbale et philosophie hermétique,[François Secret],Amsterdam,1989,1989,fre,yes
MIL1023157,ECO.01.0254/15,ECO.01.0254/15,Les symboles spirituels de l'alchimie,[H.M.E. de Jong],Amsterdam,[1988],1988,fre,yes
MIL1023287,ECO.01.0254/19,ECO.01.0254/19,Cimelia Rhodostaurotica,,Amsterdam,1995,1995,ger,yes
MIL1023312,ECO.01.0254/40,ECO.01.0254/40,Alchemy & source books in chemistry: illustrating the history of chemistry from the 16th to the 20th century,[compiled by Walter Alicke],Vaduz,[198.],1980,eng,yes
MIL1023323,ECO.01.0254/42,ECO.01.0254/42,Alchemie und Chemie,,Wien,[1984],1984,ger,yes
MIL1023413,ECO.01.0435/03,ECO.01.0435/03,Part 1,by W. A. Copinger,Milano,1992,1992,mul,
PUV0531432,ECO.01.0907,ECO.01.0907,"Dictionnaire infernal, ou Repertoire universel des etres, des personnages, des livres, des faits et des choses qui tiennent aux apparitions, aux divin",par J. Collin De Plancy,Paris,1844,1844,fre,
MIL1026580,ECO.01.0467,ECO.01.0467,Doctor Robert Fludd (Robertus de Fluctibus),by J.B. Craven,Kirkwall,1902,1902,eng,yes
MIL1026602,ECO.01.0469,ECO.01.0469,Des nombres,"par L.-C. de Saint-Martin, dit le Philosophe inconnu",Paris,1861,1861,fre,
MIL1026611,ECO.01.0482/02,ECO.01.0482/02,The Society of Jesus,"introduction by Alistair Hamilton, Louise Thijssen-Schoute",London,1996,1996,eng,
MIL1026613,ECO.01.0482/03,ECO.01.0482/03,De Societate Jesu,,Torino,[prima del 2016],2000,ita,yes
MIL1026615,ECO.01.0482/01,ECO.01.0482/01,Codex Rosae Crucis,introduction and commentary by Manly Hall,[Los Angeles],1974,1974,ita,yes
MIL1026624,ECO.01.0482/09,ECO.01.0482/09,Précurseurs et novateurs,,Paris,1989,1989,fre,
MIL1026667,ECO.01.0482/09,ECO.01.0482/09,1: La marche des sciences pendant la Révolution,,Paris,1989,1989,fre,yes
MIL1026673,ECO.01.0482/09,ECO.01.0482/09,2: Sciences et médecine du 15. au 19. siècle,,Paris,1989,1989,fre,yes
UTOE672221,ECO.01.1025,ECO.01.1025,Breuiarium politicorum secundum rubricas Mazarinicas,,Parisiis,1695,1695,lat,yes
MIL1027310,ECO.01.0557,ECO.01.0557,Philosophie scientifique,H. De Sarrauton,Paris,1914,1914,fre,yes
MIL1027647,ECO.01.0714,ECO.01.0714,The secret of a good memory,by J. Mortimer-Granville,London,1880,1880,eng,
MIL1027810,ECO.01.0802,ECO.01.0802,Notice sur l'homme-femme connu sous le nom de Mademoiselle Savalette de Lance (Henriette-Jenny) publiée au profit de la Maison de Providence,par Hérail,Versailles,1859,1859,fre,yes
MIL1027812,ECO.01.0809,ECO.01.0809,1,by J.G.R. Forlong,London,1883,1883,eng,yes
MIL1027813,ECO.01.0809,ECO.01.0809,2,by J.G.R. Forlong,London,1883,1883,eng,yes
MIL1028294,ECO.01.0293,ECO.01.0293,Geheime Wissenschaften,,München,1974,1974,ger,yes
MIL1035190,ECO.01.0987,ECO.01.0987,Chronograms collected,by James Hilton,London,1895,1895,eng,yes
MIL1035472,ECO.01.1052,ECO.01.1052,Martino con 18 dame,,Firenze,1914,1914,ita,yes
MIL1036612,ECO.02.0024/2,ECO.02.0024/2,2,[Théodore Henri de Tschudy; Charles Louis Bardou-Duhamel],Stuttgart,1866,1866,ger,yes
MIL1036622,ECO.02.0036,ECO.02.0036,4: A coeur perdu,Joséphin Péladan,Paris,1888,1888,fre,
MIL1037560,ECO.02.0065,ECO.02.0065,"Le destin de la France, de l'Allemagne, et de la Russie comme prolégomènes du messianisme",,Paris,1842,1842,fre,yes
MIL1037722,ECO.02.0075,ECO.02.0075,La Bièvre et Saint-Séverin,J.-K. Huysmans,Paris,1898,1898,fre,
MIL1037871,ECO.02.0107,ECO.02.0107,Vol. 1: 1-295,Emanuel Swedenborg,London,1884,1884,eng,yes
MIL1037875,ECO.02.0107,ECO.02.0107,The Apocalypse explained according to the spiritual sense,from the Latin of a posthumous work of Emanuel Swedenborg,London,[189.]-1901,1890,eng,
MIL1037877,ECO.02.0107,ECO.02.0107,Vol. 4: 626-771,Emanuel Swedenborg,London,1896,1896,eng,yes
MIL1037995,ECO.02.0108,ECO.02.0108,"3: Genesis, chapter 17. to chapter 22",,London,1890,1890,eng,yes
MIL1038002,ECO.02.0108,ECO.02.0108,"11: [Exodus, chapter 22. to chapter 28.",,London,1890,1890,eng,yes
MIL1038004,ECO.02.0108,ECO.02.0108,"12: Exodus, chapter 29. to chapter 40",,London,1885,1885,eng,yes
CFI0257653,ECO.04.0014,ECO.04.0014,Diario minimo,Umberto Eco,[Milano],1992,1992,ita,
MIL1038332,ECO.02.0141,ECO.02.0141,Les aventures de Télémaque suivies des aventures d'aristonous,par Fènelon,Paris,1881,1881,ita,yes
MIL1038857,ECO.02.0165,ECO.02.0165,Vol. 8.,Tallemant des Reaux,Paris,1860,1860,fre,yes
MIL1038858,ECO.02.0165,ECO.02.0165,Vol. 9.,Tallemant des Reaux,Paris,1860,1860,fre,yes
MIL1038888,ECO.02.0168/10,ECO.02.0168/10,Newton and the scientific revolution,,Bloomington (Indiana),1987,1987,eng,yes
MIL1031884,ECO.01.0911,ECO.01.0911,10,par Dupuis,Paris,1836,1836,fre,yes
MIL1035229,ECO.01.0985/05,ECO.01.0985/05,Morris N. Young and Chesley V. Young *Library of *Memory and *Mnemonics,,London,[dopo il 1987],1987,eng,
MIL1035244,ECO.01.0989,ECO.01.0989,Isolario,Benedetto Bordone,[S.l.,1999,1999,ita,yes
MIL1035259,ECO.01.1040,ECO.01.1040,Our inheritance in the great pyramid,by Piazzi Smyth,London,1880,1880,eng,yes
MIL1035301,ECO.01.1046,ECO.01.1046,Curioso contrasto fra un priore e un contadino perchè era sette anni che non si confessava,[Andrea Rulli],Firenze,1911,1911,ita,yes
MIL1035320,ECO.01.1047,ECO.01.1047,Dottrina di Giuseppe Garibaldi dedicata alla gioventu italiana,,Firenze,1914,1914,ita,yes
MIL1035407,ECO.01.1071,ECO.01.1071,A history of the warfare of science with theology in Christendom,by Andrew Dickson White,New York,1917,1917,eng,
MIL1035409,ECO.01.1071,ECO.01.1071,1,,New York,1917,1917,eng,yes
MIL1036337,ECO.04.0047,ECO.04.0047,Sulla letteratura,Umberto Eco,Milano,2022,2022,ita,
PUV0610028,ECO.01.0658,ECO.01.0658,Calcolo con zero e uno,Leibniz,Milano,1971,1971,ita,
MIL1036554,ECO.01.0921,ECO.01.0921,"Doktor Johannes Faust's Magia naturalis et innaturalis, oder Dreifacher Höllenzwang, letztes Testament und Siegelkunst: nach einer kostbar ausgestatte",,Stuttgart: Scheible,1849,1849,ger,yes
MIL1036809,ECO.02.0043,ECO.02.0043,Secret societies and subversive movements,by Nesta H. Webster,London,1924,1924,eng,yes
MIL1036814,ECO.02.0044,ECO.02.0044,"Le Faux Nápoléonisme; comme suite du secret politique de Nápoléon, et comme interprète funeste des idées du Prince Louis-Nápoléon",par Hoëné Wronski,Paris,1840,1840,fre,yes
MIL1037223,ECO.01.1028,ECO.01.1028,"Lives and voyages of Drake, Cavendish, and Dampier",,Edinburgh,1831,1831,inh,yes
MIL1038659,ECO.02.0160,ECO.02.0160,Vol. 3.,par Alexandre Dumas,Paris,1887,1887,fre,yes
MIL1038817,ECO.02.0165,ECO.02.0165,Les historiettes,de Tallemant des Reaux,Paris,1854-1860,1854,fre,
MIL1038821,ECO.02.0165,ECO.02.0165,Vol. 1.,Tallemant des Reaux,Paris,1854,1854,fre,yes
MIL1038855,ECO.02.0165,ECO.02.0165,Vol. 6.,Tallemant des Reaux,Paris,1857,1857,fre,yes
MIL1038856,ECO.02.0165,ECO.02.0165,Vol. 7.,Tallemant des Reaux,Paris,1858,1858,fre,yes
PUV0691896,ECO.01.0435/02,ECO.01.0435/02,Incunabola in American libraries,"reproduced from annotated copy maintained by Frederick R. Goff, compiler and edi","Millwood, N. Y. :Kraus reprint",1973,1973,eng,yes
MIL1028307,ECO.01.0500,ECO.01.0500,Historic doubts relative to Napoleon Buonaparte,by Richard Whately,Cambridge,1832,1832,eng,yes
MIL1028308,ECO.01.0517,ECO.01.0517,"Grand erratum, source d'un nombre infini d'errata, a noter dans l'histoire du 19. siècle",[Jean Baptiste Pérès],Agen,Imprimerie de Prospe,1835,fre,yes
MIL1036607,ECO.02.0024/2,ECO.02.0024/2,1,[Théodore Henri de Tschudy; Charles Louis Bardou-Duhamel],Stuttgart,1866,1866,ger,yes
MIL1036938,ECO.02.0052,ECO.02.0052,"Ballades, rondeaux & chansons",par Clément Marot,,,1910,fre,
MIL1037310,ECO.02.0055,ECO.02.0055,Vol. 1: The history of freemasonry,by J.W.S. Mitchell,New York,[186.],1860,eng,yes
MIL1037759,ECO.02.0084,ECO.02.0084,L'art idealiste & mystique,Sar Peladan,Paris,1894,1894,fre,yes
MIL1038005,ECO.02.0108,ECO.02.0108,"6: Genesis, chapter 32. to chapter 38",,London,1889,1889,eng,yes
MIL1038072,ECO.02.0118,ECO.02.0118,La verite sur le masque de fer,par Th. Iung,Paris,1872,1872,fre,yes
MIL1038079,ECO.02.0119,ECO.02.0119,L'homme au masque de fer,Paul L. Jacob bibliophile,Paris,1837,1837,fre,
MIL1038459,ECO.02.0137,ECO.02.0137,Vol. [1]: [Latréaumont,Eugéne Sue,Paris,1850,1850,fre,yes
MIL1038503,ECO.02.0136,ECO.02.0136,Vol. [2]: [Mathilde,Eugéne Sue,Paris,1850,1850,fre,yes
MIL1039791,ECO.01.1054,ECO.01.1054,Amour et magie de Gilles de Rays à Rasputine,,Paris,1953,1953,fre,
VEA0086812,ECO.01.0254/36,ECO.01.0254/36,[1],Mario Praz,Roma,1975,1975,eng,yes
PUV0812568,ECO.02.0076,ECO.02.0076,L'art moderne,par J.-K. Huysmans,Paris,1883,1883,fre,yes
VEA0093871,ECO.01.0214,ECO.01.0214,Ortelius Atlas maps,by Marcel P. R. van den Broecke,Westrenen,c1996,1996,eng,yes
MIL1039766,ECO.02.0168/17,ECO.02.0168/17,Catalogue,La table d'Emeraude librairie,Paris,[19..]-,19..,fre,yes
MIL1039806,ECO.02.0168/18,ECO.02.0168/18,Catalogue,Antiquariaat Schors,Amsterdam,[19..]-,19..,eng,yes
MIL1039926,ECO.02.0168/19,ECO.02.0168/19,Catalogue de livres anciens et modernes,L'Intersigne livres anciens,Paris,[19..]-,19..,fre,
FOG0477697,ECO.01.0911,ECO.01.0911,2,Dupuis,Paris,1835,1835,fre,yes
FOG0477700,ECO.01.0911,ECO.01.0911,8,Dupuis,Paris,1835,1835,fre,yes
FOG0480252,ECO.01.0911,ECO.01.0911,3,Dupuis,Paris,1835,1835,fre,yes
FOG0480258,ECO.01.0911,ECO.01.0911,9,Dupuis,Paris,1836,1836,fre,yes
FOG0477691,ECO.01.0911,ECO.01.0911,Origine de tous les cultes ou religion universelle,par Dupuis,Paris,1835-36,1835,fre,
MIL0097947,ECO.01.1021/02,ECO.01.1021/02,Libro dei globi,Vincenzo Coronelli,Amsterdam,1969,1969,eng,yes
FER0171318,ECO.04.0090,ECO.04.0090,Sylvie,Gérard de Nerval,Torino,\1999!,1999,ita,
SBL0500783,ECO.04.0017,ECO.04.0017,Filosofi in libertà,Dedalus,[S. l.],1958,1958,ita,
UTO0872951,ECO.01.0798,ECO.01.0798,La Cryptographie,[Paul Lacroix],Paris,1858,1858,fre,yes
UTO1169663,ECO.01.0691,ECO.01.0691,The cipher of Roger Bacon,by William Romaine Newbold,Philadelphia,1928,1928,eng,yes
UTO1427718,ECO.02.0021,ECO.02.0021,Tome 1,par Ferdinand Hoefer,Paris,1866,1866,fre,yes
UTO1427719,ECO.02.0021,ECO.02.0021,Tome 2,par Ferdinand Hoefer,Paris,1869,1869,fre,yes
MIL1016858,ECO.01.0008,ECO.01.0008,10: Table raisonnée des matières,par Gaspard Lavater,Paris,1835,1835,fre,yes
MIL1022795,ECO.01.0002,ECO.01.0002,"Estudio introductorio a ""I marmi"" de Anton Francesco Doni",Vincenzo Iacomuzzi,Santiago de Compostela,1999,1999,spa,
MIL1022797,ECO.01.0002,ECO.01.0002,"I marmi del Doni, academico peregrino, al mag.co et eccellente Antonio da Feltro dedicati",,Santiago de Compostela,1999,1999,ita,yes
