bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
BVEE007914,ECO.01.0701,ECO.01.0701,"La retorica di M. Tullio Cicerone a Gaio Herennio, ridotta in alberi; con tanto ordine, et con essempi così chiari, & ben collocati, che ciascuno potr",,In Vinegia,1561,1561,ita,yes
LO11166971,ECO.01.1095,ECO.01.1095,Les illuminés,par Gérard de Nerval,Paris,1852,1852,fre,yes
BVEE003236,ECO.01.0886/01,ECO.01.0886/01,"Iulii Firmici Materni iunioris Siculi V.C. ad Mauortium Lollianum, Astronomicōn libri 8, per Nicolaum Prucknerum astrologum nuper ab innumeris mendis ",,Basileae,1551. Mense Aprili,1551,lat,yes
BVEE004357,ECO.01.0090,ECO.01.0090,"Marsilij Ficini ... Opera & quæ hactenus extitêre, & quæ in lucem nunc primùm prodiêre omnia, ... in duos tomos digesta, ... Vnà cum Gnomologia, hoc e",,Basileæ,1561,1561,lat,
LO11178538,ECO.01.0821,ECO.01.0821,[2!: Divina Commedia,Dante Alighieri,Gorle,2000,2000,ita,yes
BVEE005031,ECO.01.0092,ECO.01.0092,"Hieronymi Cardani ... De rerum varietate libri 17. Adiectus est capitum, rerum & sententiarum notatu dignissimarum index. ...",,Basileae,1557,1557,lat,yes
BVEE005939,ECO.01.0689,ECO.01.0689,Catalogus Sanctorum. Sanctorum catalogus vitas: passiones: & miracula commodissime annectens: Ex varijs voluminibus selectus. Quem edidit ... Petrus d,,Veneunt Lugd.,1545,1545,lat,yes
RMS0087506,ECO.02.0104,ECO.02.0104,Les origines de l'alchimie,par M. Berthelot,Paris,1938,1938,fre,yes
BVEE014009,ECO.01.0087/02,ECO.01.0087/02,Annotationes Petri Mosellani Protogensis in clarissimas Auli Gellii Noctes Atticas,,\Parigi!,1534,1534,lat,yes
BVEE017789,ECO.01.0118,ECO.01.0118,Francisci Georgii Veneti ... De harmonia mundi totius cantica tria,,,,1525,lat,yes
BVEE018094,ECO.01.0770,ECO.01.0770,"Dn. Iohannis Tritthemii abbatis Spanheimensis, De scriptoribus ecclesiasticis, siue per scripta illustribus in Ecclesia viris, cum appendicibus duabus",,Coloniae,mense Martio 1546,1546,lat,yes
NAP0811125,ECO.01.0226,ECO.01.0226,Amphithéatre de l'éternelle sapience,Henri Khunrath,Paris,1898,1900,fre,yes
UBO3094792,ECO.02.0058,ECO.02.0058,"Histoire des conspirations et des executions politiques en France, en Angleterre, en Russie, et en Espagne depuis les temps les plus recules jusqu'à n",par M. Emile Marco de Saint-Hilaire,Paris,,1849,fre,
UBO3094827,ECO.02.0058,ECO.02.0058,3: Russie,par M. Emile Marco de Saint-Hilaire,Paris,1849,1849,fre,yes
BVEE006782,ECO.01.0705,ECO.01.0705,"Antonii Riccoboni De vsu artis rhetoricae Aristotelis commentarii vigintiquinque, quibus duplex rhetorica strictim explicatur, altera, quae praecepta ",,Francoforti,1595,1595,lat,yes
RMR0311076,ECO.01.0259,ECO.01.0259,Description raisonnées d'une jolie collection de livres (nouveaux mélanges tirés d'une petite bibliothèque),par Charles Nodier...,Paris,1844,1844,fre,yes
